2026-07-25 11:05:32 | WARNING | trading.bybit_client_s5:set_leverage:109 | S5 set_leverage unexpected response | {'symbol': 'PROMUSDT', 'resp': {'retCode': 110074, 'retMsg': 'closed symbol error: This PROMUSDT contract is not live', 'result': {}, 'retExtInfo': {}, 'time': 1784977532157}}
2026-07-25 11:05:32 | ERROR | trading.strategy5_live:_open_live:151 | S5Live: entry order failed | {'symbol': 'PROMUSDT', 'error': 'S5 place_market_order failed: retCode=110074 retMsg=This contract is not live symbol=PROMUSDT qty=48.8'}
2026-07-25 11:58:08 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'ZAMAUSDT', 'order_id': '8236f827-24ac-40fb-b448-6454cf54544f', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1784980688229}}
2026-07-25 11:58:11 | WARNING | trading.strategy2_live:_realized_pnl_from_executions:1888 | S2Live: buy/sell qty mismatch on close — PnL booked on matched qty only, remainder left for reconcile | {'trade_id': 'b4f56239-9b90-401d-ac5c-ed08b795f459', 'symbol': 'ZAMAUSDT', 'buy_qty': 2018.0, 'sell_qty': 1009.0, 'matched_qty': 1009.0}
2026-07-25 15:36:14 | WARNING | trading.bybit_client:set_leverage:93 | bybit set_leverage unexpected response | {'symbol': 'PROMUSDT', 'resp': {'retCode': 110074, 'retMsg': 'closed symbol error: This PROMUSDT contract is not live', 'result': {}, 'retExtInfo': {}, 'time': 1784993774462}}
2026-07-25 15:36:15 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'PROMUSDT', 'index': 1, 'price': 1.9084, 'error': 'place_limit_order failed: retCode=110074 retMsg=This contract is not live symbol=PROMUSDT price=1.9084 qty=52.4'}
2026-07-25 15:36:15 | WARNING | trading.strategy2_live:_open_grid:663 | S2Live: symbol not live on Bybit, cooldown 24h set | {'symbol': 'PROMUSDT'}
2026-07-25 17:01:42 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.14, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.14 qty=734.09'}
2026-07-25 17:01:42 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.13, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.13 qty=745.2'}
2026-07-25 17:01:47 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.14, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.14 qty=734.09'}
2026-07-25 17:01:47 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.13, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.13 qty=745.2'}
2026-07-25 17:01:48 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.14, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.14 qty=734.09'}
2026-07-25 17:01:48 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.13, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.13 qty=745.2'}
2026-07-25 17:01:57 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.14, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.14 qty=734.09'}
2026-07-25 17:01:57 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.13, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.13 qty=745.2'}
2026-07-25 17:01:58 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.14, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.14 qty=734.09'}
2026-07-25 17:01:58 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.13, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.13 qty=745.2'}
2026-07-25 17:02:02 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.14, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.14 qty=734.09'}
2026-07-25 17:02:02 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.13, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.13 qty=745.2'}
2026-07-25 17:02:03 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.14, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.14 qty=734.09'}
2026-07-25 17:02:03 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.13, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.13 qty=745.2'}
2026-07-25 17:02:07 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.14, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.14 qty=734.09'}
2026-07-25 17:02:07 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.13, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.13 qty=745.2'}
