2026-07-20 06:11:54 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'AKEUSDT', 'level': 0.0016822, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.47}
2026-07-20 06:11:54 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'AKEUSDT', 'health': 40, 'broken': 0, 'correction': '97%'}
2026-07-20 06:12:26 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'AVAAIUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.67'}
2026-07-20 06:12:31 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'AVAAIUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.67'}
2026-07-20 06:12:36 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'AVAAIUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.67'}
2026-07-20 06:12:41 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'AVAAIUSDT', 'level': 0.011162, 'result': 'пробой', 'outcome': 'breakout', 'duration': 1940.9}
2026-07-20 06:12:41 | INFO | analysis.monitor:start_monitor:126 | monitor: skip level with non-positive p_bounce (won't pass entry filter) | {'symbol': 'AVAAIUSDT', 'level': 0.010702, 'level_type': 'body_level', 'p_bounce': 0.0, 'expected_depth': 0.0}
2026-07-20 06:12:41 | INFO | __main__:_start_next_level_after_breakout:886 | Previous level started after breakout | {'symbol': 'AVAAIUSDT', 'level': 0.010702}
2026-07-20 06:12:42 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'AVAAIUSDT', 'level': 0.010702}
2026-07-20 06:12:42 | INFO | __main__:_start_next_level_after_breakout:933 | Next level from cache started | {'symbol': 'AVAAIUSDT', 'level': 0.010756}
2026-07-20 06:12:50 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'BANKUSDT', 'level': 0.2307, 'current': 0.25686, 'distance_pct': 10.2}
2026-07-20 06:12:50 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'BANKUSDT', 'level': 0.2307}
2026-07-20 06:12:51 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'BANKUSDT', 'level': 0.23086, 'strength': 3}
2026-07-20 06:13:42 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'AVAAIUSDT', 'level': 0.010756, 'distance_pct': 1.4025116875974}
2026-07-20 06:15:13 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'BANKUSDT'}
2026-07-20 06:15:23 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'AKEUSDT'}
2026-07-20 06:15:23 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'AKEUSDT', 'health': 40, 'broken': 0, 'correction': '99%'}
2026-07-20 06:16:39 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.13'}
2026-07-20 06:17:15 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.14'}
2026-07-20 06:17:30 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.14'}
2026-07-20 06:17:45 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.14'}
