2026-07-22 06:08:27 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'LABUSDT', 'level': 0.1361, 'current': 0.164, 'distance_pct': 17.0}
2026-07-22 06:08:27 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'LABUSDT', 'level': 0.1361}
2026-07-22 06:08:28 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'LABUSDT', 'level': 0.14748, 'strength': 5}
2026-07-22 06:08:35 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-22 06:15:22 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'ZHIPUUSDT'}
2026-07-22 06:15:22 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'ZHIPUUSDT', 'health': 40, 'broken': 0, 'correction': '98%'}
2026-07-22 06:18:38 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-22 06:19:48 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'AKEUSDT', 'level': 0.0017162, 'approach_count': 9, 'block_threshold': 4}
2026-07-22 06:20:14 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'AKEUSDT', 'level': 0.0017162, 'approach_count': 9, 'block_threshold': 4}
2026-07-22 06:20:29 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'AKEUSDT', 'level': 0.0017162, 'approach_count': 9, 'block_threshold': 4}
2026-07-22 06:20:45 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'AKEUSDT', 'level': 0.0017162, 'approach_count': 10, 'block_threshold': 4}
2026-07-22 06:21:00 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'AKEUSDT', 'level': 0.0017162, 'approach_count': 10, 'block_threshold': 4}
2026-07-22 06:21:15 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'AKEUSDT', 'level': 0.0017162, 'approach_count': 10, 'block_threshold': 4}
2026-07-22 06:21:31 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'AKEUSDT', 'level': 0.0017162, 'approach_count': 10, 'block_threshold': 4}
2026-07-22 06:21:46 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'AKEUSDT', 'level': 0.0017162, 'approach_count': 9, 'block_threshold': 4}
