2026-07-24 06:11:28 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'DEXEUSDT', 'level': 1.8023, 'current': 2.023, 'distance_pct': 10.9}
2026-07-24 06:11:28 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'DEXEUSDT', 'level': 1.8023}
2026-07-24 06:11:29 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'DEXEUSDT', 'level': 1.8012, 'strength': 3}
2026-07-24 06:12:33 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'PROMUSDT', 'level': 1.633, 'approach_count': 4, 'block_threshold': 4}
2026-07-24 06:12:33 | INFO | trading.strategy2_signal_filter:check:545 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'PROMUSDT', 'level': 1.633, 'approach_count': 4}
2026-07-24 06:12:33 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'PROMUSDT', 'level': 1.633, 'distance_pct': 1.2696493349455809}
2026-07-24 06:12:33 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'PROMUSDT', 'level': 1.633, 'approach_count': 5, 'block_threshold': 4}
2026-07-24 06:12:48 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'PROMUSDT', 'level': 1.633, 'approach_count': 5, 'block_threshold': 4}
2026-07-24 06:13:03 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'PROMUSDT', 'level': 1.633, 'approach_count': 5, 'block_threshold': 4}
2026-07-24 06:13:19 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.04057, 'approach_count': 7, 'block_threshold': 4}
2026-07-24 06:13:19 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'PROMUSDT', 'level': 1.633, 'approach_count': 4, 'block_threshold': 4}
2026-07-24 06:13:34 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.04057, 'approach_count': 7, 'block_threshold': 4}
2026-07-24 06:13:34 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'PROMUSDT', 'level': 1.633, 'approach_count': 5, 'block_threshold': 4}
2026-07-24 06:13:49 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.04057, 'approach_count': 7, 'block_threshold': 4}
2026-07-24 06:13:49 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'PROMUSDT', 'level': 1.633, 'approach_count': 5, 'block_threshold': 4}
2026-07-24 06:14:05 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.04057, 'approach_count': 7, 'block_threshold': 4}
2026-07-24 06:14:05 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'PROMUSDT', 'level': 1.633, 'approach_count': 5, 'block_threshold': 4}
2026-07-24 06:14:20 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.04057, 'approach_count': 6, 'block_threshold': 4}
